Quantity,Unit Price,Digikey P. No
1,$1.82,MIC29151-5.0WU TR-ND
1,$1.82,MIC29151-12WU TR-ND
1,$2.45,450-1616-ND
1,$0.70,EG1903-ND
1,$0.11,S9338-ND
2,$1.38,HS406-ND
1,$2.46,WM1890CT-ND
2,$2.47,WM1801-ND
4,$0.10,PCE4751TR-ND
1,$0.97,WM21351-ND
4,$0.07,399-1169-1-ND
1,$4.50,768-1007-2-ND
1,$1.55,A98573-ND
1,$0.16,450-1650-ND
